USING CLR
eval_results: {'accuracy': 0.49110001, 'loss': 2.2755606, 'global_step': 500}
eval_results: {'accuracy': 0.57090002, 'loss': 1.8122783, 'global_step': 1000}
eval_results: {'accuracy': 0.59399998, 'loss': 1.7190611, 'global_step': 1500}
eval_results: {'accuracy': 0.59359998, 'loss': 1.6459563, 'global_step': 2000}
eval_results: {'accuracy': 0.66979998, 'loss': 1.3579253, 'global_step': 2500}
eval_results: {'accuracy': 0.51249999, 'loss': 2.3753901, 'global_step': 3000}
eval_results: {'accuracy': 0.53280002, 'loss': 1.8643351, 'global_step': 3500}
eval_results: {'accuracy': 0.50449997, 'loss': 2.1297033, 'global_step': 4000}
eval_results: {'accuracy': 0.53369999, 'loss': 2.2620292, 'global_step': 4500}
eval_results: {'accuracy': 0.38100001, 'loss': 3.1670284, 'global_step': 5000}
eval_results: {'accuracy': 0.61870003, 'loss': 1.734594, 'global_step': 5500}
eval_results: {'accuracy': 0.62580001, 'loss': 1.9184879, 'global_step': 6000}
eval_results: {'accuracy': 0.6613, 'loss': 1.5475452, 'global_step': 6500}
eval_results: {'accuracy': 0.67570001, 'loss': 1.5009857, 'global_step': 7000}
eval_results: {'accuracy': 0.66600001, 'loss': 1.5185864, 'global_step': 7500}
eval_results: {'accuracy': 0.71490002, 'loss': 1.3583559, 'global_step': 8000}
eval_results: {'accuracy': 0.76590002, 'loss': 1.0555105, 'global_step': 8500}
eval_results: {'accuracy': 0.8035, 'loss': 0.94695818, 'global_step': 9000}
eval_results: {'accuracy': 0.81870002, 'loss': 0.89496094, 'global_step': 9500}
eval_results: {'accuracy': 0.85979998, 'loss': 0.71993905, 'global_step': 10000}

output for figure 6a CLR portion - 20k samples
