USING PC-LR
eval_results: {'loss': 9.2371473, 'accuracy': 0.1231, 'global_step': 500}
eval_results: {'loss': 4.2965331, 'accuracy': 0.2045, 'global_step': 1000}
eval_results: {'loss': 2.4987507, 'accuracy': 0.2406, 'global_step': 1500}
eval_results: {'loss': 2.5603604, 'accuracy': 0.15719999, 'global_step': 2000}
eval_results: {'loss': 2.5038767, 'accuracy': 0.2379, 'global_step': 2500}
eval_results: {'loss': 2.2800806, 'accuracy': 0.2543, 'global_step': 3000}
eval_results: {'loss': 2.2985554, 'accuracy': 0.33410001, 'global_step': 3500}
eval_results: {'loss': 1.8220885, 'accuracy': 0.42969999, 'global_step': 4000}
eval_results: {'loss': 1.9789882, 'accuracy': 0.37079999, 'global_step': 4500}
eval_results: {'loss': 1.909469, 'accuracy': 0.45179999, 'global_step': 5000}
eval_results: {'loss': 1.5933849, 'accuracy': 0.61559999, 'global_step': 5500}
eval_results: {'loss': 1.3022844, 'accuracy': 0.66289997, 'global_step': 6000}
eval_results: {'loss': 1.6401625, 'accuracy': 0.59280002, 'global_step': 6500}
eval_results: {'loss': 1.9268134, 'accuracy': 0.58810002, 'global_step': 7000}
eval_results: {'loss': 2.1106434, 'accuracy': 0.59539998, 'global_step': 7500}
eval_results: {'loss': 1.6900673, 'accuracy': 0.61970001, 'global_step': 8000}
eval_results: {'loss': 1.430335, 'accuracy': 0.68699998, 'global_step': 8500}
eval_results: {'loss': 1.0833271, 'accuracy': 0.75080001, 'global_step': 9000}
eval_results: {'loss': 1.5865428, 'accuracy': 0.60320002, 'global_step': 9500}
eval_results: {'loss': 1.0608141, 'accuracy': 0.76169997, 'global_step': 10000}
eval_results: {'loss': 1.0475963, 'accuracy': 0.755, 'global_step': 10500}
eval_results: {'loss': 1.2282476, 'accuracy': 0.71520001, 'global_step': 11000}
eval_results: {'loss': 1.8467474, 'accuracy': 0.54400003, 'global_step': 11500}
eval_results: {'loss': 1.6963496, 'accuracy': 0.58410001, 'global_step': 12000}
eval_results: {'loss': 2.1411357, 'accuracy': 0.50580001, 'global_step': 12500}
eval_results: {'loss': 1.8670825, 'accuracy': 0.56580001, 'global_step': 13000}
eval_results: {'loss': 1.4158771, 'accuracy': 0.63779998, 'global_step': 13500}
eval_results: {'loss': 1.4032811, 'accuracy': 0.64310002, 'global_step': 14000}
eval_results: {'loss': 1.1728541, 'accuracy': 0.7051, 'global_step': 14500}
eval_results: {'loss': 1.607812, 'accuracy': 0.62440002, 'global_step': 15000}
eval_results: {'loss': 1.5925673, 'accuracy': 0.64929998, 'global_step': 15500}
eval_results: {'loss': 1.262571, 'accuracy': 0.71670002, 'global_step': 16000}
eval_results: {'loss': 0.8982026, 'accuracy': 0.7895, 'global_step': 16500}
eval_results: {'loss': 0.72514665, 'accuracy': 0.83520001, 'global_step': 17000}
eval_results: {'loss': 0.59674448, 'accuracy': 0.87489998, 'global_step': 17500}
eval_results: {'loss': 0.75929701, 'accuracy': 0.83329999, 'global_step': 18000}
eval_results: {'loss': 0.71564603, 'accuracy': 0.85000002, 'global_step': 18500}
eval_results: {'loss': 0.86273897, 'accuracy': 0.81110001, 'global_step': 19000}
eval_results: {'loss': 0.71646392, 'accuracy': 0.84210002, 'global_step': 19500}
eval_results: {'loss': 0.63692361, 'accuracy': 0.86970001, 'global_step': 20000}
eval_results: {'loss': 0.72364962, 'accuracy': 0.85320002, 'global_step': 20500}
eval_results: {'loss': 0.87519586, 'accuracy': 0.81760001, 'global_step': 21000}
eval_results: {'loss': 0.67895812, 'accuracy': 0.8635, 'global_step': 21500}
eval_results: {'loss': 0.73416919, 'accuracy': 0.84979999, 'global_step': 22000}
eval_results: {'loss': 0.78753722, 'accuracy': 0.84420002, 'global_step': 22500}
eval_results: {'loss': 0.77861285, 'accuracy': 0.8409, 'global_step': 23000}
eval_results: {'loss': 0.75398993, 'accuracy': 0.8405, 'global_step': 23500}
eval_results: {'loss': 0.86866051, 'accuracy': 0.8265, 'global_step': 24000}
eval_results: {'loss': 0.61791331, 'accuracy': 0.87309998, 'global_step': 24500}
eval_results: {'loss': 0.75696731, 'accuracy': 0.85329998, 'global_step': 25000}
eval_results: {'loss': 0.42654338, 'accuracy': 0.92799997, 'global_step': 25500}
eval_results: {'loss': 0.42210007, 'accuracy': 0.93159997, 'global_step': 26000}
eval_results: {'loss': 0.44166356, 'accuracy': 0.92989999, 'global_step': 26500}
eval_results: {'loss': 0.43691403, 'accuracy': 0.93199998, 'global_step': 27000}
eval_results: {'loss': 0.4474912, 'accuracy': 0.93309999, 'global_step': 27500}
eval_results: {'loss': 0.45182168, 'accuracy': 0.93370003, 'global_step': 28000}
eval_results: {'loss': 0.44898641, 'accuracy': 0.93430001, 'global_step': 28500}
eval_results: {'loss': 0.44970638, 'accuracy': 0.93559998, 'global_step': 29000}
eval_results: {'loss': 0.46165851, 'accuracy': 0.93290001, 'global_step': 29500}
eval_results: {'loss': 0.44985864, 'accuracy': 0.93540001, 'global_step': 30000}
eval_results: {'loss': 0.45945659, 'accuracy': 0.93529999, 'global_step': 30500}
eval_results: {'loss': 0.45386589, 'accuracy': 0.93660003, 'global_step': 31000}
eval_results: {'loss': 0.4590821, 'accuracy': 0.93599999, 'global_step': 31500}
eval_results: {'loss': 0.46043915, 'accuracy': 0.93660003, 'global_step': 32000}
eval_results: {'loss': 0.46170166, 'accuracy': 0.93660003, 'global_step': 32500}
eval_results: {'loss': 0.4617109, 'accuracy': 0.93489999, 'global_step': 33000}
eval_results: {'loss': 0.45982215, 'accuracy': 0.9346, 'global_step': 33500}
eval_results: {'loss': 0.46454525, 'accuracy': 0.93550003, 'global_step': 34000}
eval_results: {'loss': 0.46639478, 'accuracy': 0.93669999, 'global_step': 34500}
eval_results: {'loss': 0.46782237, 'accuracy': 0.93540001, 'global_step': 35000}
eval_results: {'loss': 0.47263026, 'accuracy': 0.93559998, 'global_step': 35500}
