USING PC-LR
eval_results: {'loss': 14.084265, 'accuracy': 0.12710001, 'global_step': 500}
eval_results: {'loss': 2.2212961, 'accuracy': 0.39050001, 'global_step': 1000}
eval_results: {'loss': 2.318814, 'accuracy': 0.34639999, 'global_step': 1500}
eval_results: {'loss': 1.7186335, 'accuracy': 0.4689, 'global_step': 2000}
eval_results: {'loss': 1.7629131, 'accuracy': 0.4912, 'global_step': 2500}
eval_results: {'loss': 1.6867268, 'accuracy': 0.4991, 'global_step': 3000}
eval_results: {'loss': 1.4325414, 'accuracy': 0.63349998, 'global_step': 3500}
eval_results: {'loss': 1.7909067, 'accuracy': 0.53070003, 'global_step': 4000}
eval_results: {'loss': 1.6083598, 'accuracy': 0.5704, 'global_step': 4500}
eval_results: {'loss': 2.0155208, 'accuracy': 0.46970001, 'global_step': 5000}
eval_results: {'loss': 2.9580412, 'accuracy': 0.35330001, 'global_step': 5500}
eval_results: {'loss': 3.3908823, 'accuracy': 0.35859999, 'global_step': 6000}
eval_results: {'loss': 2.8761971, 'accuracy': 0.44209999, 'global_step': 6500}
eval_results: {'loss': 3.2818396, 'accuracy': 0.41479999, 'global_step': 7000}
eval_results: {'loss': 2.4696205, 'accuracy': 0.49579999, 'global_step': 7500}
eval_results: {'loss': 2.213268, 'accuracy': 0.59149998, 'global_step': 8000}
eval_results: {'loss': 2.0305817, 'accuracy': 0.61369997, 'global_step': 8500}
eval_results: {'loss': 2.0520484, 'accuracy': 0.60960001, 'global_step': 9000}
eval_results: {'loss': 1.7219959, 'accuracy': 0.6476, 'global_step': 9500}
eval_results: {'loss': 1.7803447, 'accuracy': 0.6699, 'global_step': 10000}
eval_results: {'loss': 0.9194023, 'accuracy': 0.82920003, 'global_step': 10500}
eval_results: {'loss': 0.85967338, 'accuracy': 0.84990001, 'global_step': 11000}
eval_results: {'loss': 0.83847737, 'accuracy': 0.86159998, 'global_step': 11500}
eval_results: {'loss': 0.8327027, 'accuracy': 0.86849999, 'global_step': 12000}
eval_results: {'loss': 0.8106913, 'accuracy': 0.87290001, 'global_step': 12500}
eval_results: {'loss': 0.81861466, 'accuracy': 0.8725, 'global_step': 13000}
eval_results: {'loss': 0.82606447, 'accuracy': 0.87339997, 'global_step': 13500}
eval_results: {'loss': 0.83137804, 'accuracy': 0.8725, 'global_step': 14000}
eval_results: {'loss': 0.84135634, 'accuracy': 0.87239999, 'global_step': 14500}
eval_results: {'loss': 0.83104753, 'accuracy': 0.87470001, 'global_step': 15000}
eval_results: {'loss': 0.83504325, 'accuracy': 0.87370002, 'global_step': 15500}
eval_results: {'loss': 0.83864093, 'accuracy': 0.87339997, 'global_step': 16000}
eval_results: {'loss': 0.8409903, 'accuracy': 0.87529999, 'global_step': 16500}
eval_results: {'loss': 0.84001291, 'accuracy': 0.87459999, 'global_step': 17000}
eval_results: {'loss': 0.84697258, 'accuracy': 0.87379998, 'global_step': 17500}
eval_results: {'loss': 0.83545578, 'accuracy': 0.87510002, 'global_step': 18000}
eval_results: {'loss': 0.84228933, 'accuracy': 0.87730002, 'global_step': 18500}
eval_results: {'loss': 0.83580559, 'accuracy': 0.87830001, 'global_step': 19000}
eval_results: {'loss': 0.85001242, 'accuracy': 0.8757, 'global_step': 19500}
eval_results: {'loss': 0.83858544, 'accuracy': 0.8757, 'global_step': 20000}
eval_results: {'loss': 0.83877397, 'accuracy': 0.8761, 'global_step': 20500}
eval_results: {'loss': 0.84282732, 'accuracy': 0.87690002, 'global_step': 21000}
eval_results: {'loss': 0.8472206, 'accuracy': 0.87620002, 'global_step': 21500}
eval_results: {'loss': 0.84923244, 'accuracy': 0.87559998, 'global_step': 22000}
eval_results: {'loss': 0.85057825, 'accuracy': 0.87620002, 'global_step': 22500}
eval_results: {'loss': 0.85224652, 'accuracy': 0.87540001, 'global_step': 23000}
eval_results: {'loss': 0.8531608, 'accuracy': 0.87580001, 'global_step': 23500}
eval_results: {'loss': 0.85295373, 'accuracy': 0.87550002, 'global_step': 24000}
